,user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
8010836,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541074635,6,filter selection,3 Star,JP,"Seoul, South Korea",mobile,Best Value|2 Star|3 Star,,
8010837,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541074637,7,filter selection,4 Star,JP,"Seoul, South Korea",mobile,Best Value|2 Star|3 Star|4 Star,,
8010840,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077562,10,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8010841,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077574,11,filter selection,3 Star,JP,"Seoul, South Korea",mobile,3 Star,,
8010842,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077576,12,filter selection,4 Star,JP,"Seoul, South Korea",mobile,3 Star|4 Star,,
8010843,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077578,13,filter selection,4 Star,JP,"Seoul, South Korea",mobile,3 Star,,
8010844,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077594,14,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8010845,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077595,15,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
8010846,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541077595,16,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,3 Star|Sort by Price,,
8010852,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541078379,22,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8010853,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541078386,23,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8010854,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541078391,24,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8010855,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541078391,25,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
8010859,TJ4BXA6O8YEA,2bd4ea5c1c0ba,1541079426,29,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8011315,W88BAH30LVFC,03f52096d7483,1541055192,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",tablet,,,
8049578,TUYB29RKKKFN,bd8e2bae24a8c,1541311319,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8053517,1PS00LZIP725,1402ac29bec90,1541435778,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8053518,1PS00LZIP725,1402ac29bec90,1541435810,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8053519,1PS00LZIP725,1402ac29bec90,1541435811,3,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8053520,1PS00LZIP725,1402ac29bec90,1541435811,4,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
8053521,1PS00LZIP725,1402ac29bec90,1541435826,5,filter selection,Hotel,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel,,
8053522,1PS00LZIP725,1402ac29bec90,1541435826,6,filter selection,Motel,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel,,
8053523,1PS00LZIP725,1402ac29bec90,1541435828,7,filter selection,3 Star,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel|3 Star,,
8053524,1PS00LZIP725,1402ac29bec90,1541435829,8,filter selection,4 Star,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel|3 Star|4 Star,,
8053525,1PS00LZIP725,1402ac29bec90,1541435836,9,filter selection,5 Star,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel|3 Star|4 Star|5 Star,,
8053526,1PS00LZIP725,1402ac29bec90,1541435845,10,filter selection,Free WiFi (Combined),JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel|3 Star|4 Star|5 Star|Free WiFi (Combined),,
8053527,1PS00LZIP725,1402ac29bec90,1541435846,11,filter selection,Air Conditioning,JP,"Seoul, South Korea",mobile,Best Value|Hotel|Motel|3 Star|4 Star|5 Star|Free WiFi (Combined)|Air Conditioning,,
8053529,1PS00LZIP725,1402ac29bec90,1541435881,13,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8053530,1PS00LZIP725,1402ac29bec90,1541435891,14,change of sort order,rating only,JP,"Seoul, South Korea",mobile,,,
8053531,1PS00LZIP725,1402ac29bec90,1541435891,15,filter selection,Sort By Rating,JP,"Seoul, South Korea",mobile,Hotel|Motel|3 Star|4 Star|5 Star|Free WiFi (Combined)|Air Conditioning|Sort By Rating,,
8057266,A71G9OD4X2D7,8cea2ca8b944e,1541430462,1,search for poi,Jung Gu,KR,"Seoul, South Korea",mobile,,,
8057283,A71G9OD4X2D7,8cea2ca8b944e,1541430764,18,filter selection,Good Rating,KR,"Seoul, South Korea",mobile,Good Rating,,
8057284,A71G9OD4X2D7,8cea2ca8b944e,1541430771,19,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
8057285,A71G9OD4X2D7,8cea2ca8b944e,1541430774,20,change of sort order,price and recommended,KR,"Seoul, South Korea",mobile,,,
8057286,A71G9OD4X2D7,8cea2ca8b944e,1541430774,21,filter selection,Best Value,KR,"Seoul, South Korea",mobile,Good Rating|Best Value,,
8074374,G2QQBWHX5TGW,90c30fecc3cbf,1541511608,2,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8074375,G2QQBWHX5TGW,90c30fecc3cbf,1541511608,3,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8074376,G2QQBWHX5TGW,90c30fecc3cbf,1541511608,4,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
8074378,G2QQBWHX5TGW,90c30fecc3cbf,1541512622,6,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,Satisfactory Rating|Hotel|Motel|Resort|3 Star|4 Star|5 Star,,
8074379,G2QQBWHX5TGW,90c30fecc3cbf,1541512637,7,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8074380,G2QQBWHX5TGW,90c30fecc3cbf,1541512638,8,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8074381,G2QQBWHX5TGW,90c30fecc3cbf,1541512638,9,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Satisfactory Rating|Hotel|Motel|Resort|3 Star|4 Star|5 Star|Best Value,,
8074382,G2QQBWHX5TGW,90c30fecc3cbf,1541512669,10,filter selection,Airport Shuttle,JP,"Seoul, South Korea",mobile,Satisfactory Rating|Hotel|Motel|Resort|3 Star|4 Star|5 Star|Best Value|Airport Shuttle,,
8091862,W4CO7PKJ2PU6,efefbe31e5368,1541069829,124,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8091881,W4CO7PKJ2PU6,efefbe31e5368,1541069879,143,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8091882,W4CO7PKJ2PU6,efefbe31e5368,1541069880,144,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8091883,W4CO7PKJ2PU6,efefbe31e5368,1541069880,145,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
8093855,1RG5J3Z565N9,0305c620093cb,1541129896,1,search for poi,Insadong,AU,"Seoul, South Korea",mobile,,,
8115227,QEL9METN23KL,8220552ba4ac6,1541273530,2,search for destination,"Seoul, South Korea",UK,"Seoul, South Korea",mobile,,,
8115808,SAY99K7Y21HG,cb2e1ff62d26c,1541251225,1,search for poi,Myeong-dong,KR,"Seoul, South Korea",mobile,,,
8135846,78RDF37SYSCB,d57f74d9f5b21,1541436592,1,search for poi,Insadong,MY,"Seoul, South Korea",mobile,,,
8135847,78RDF37SYSCB,d57f74d9f5b21,1541436624,2,change of sort order,interaction sort button,MY,"Seoul, South Korea",mobile,,,
8145978,V0AIKK4KTWV0,f7098838800d8,1541411435,1,search for poi,Seoul Station,KR,"Seoul, South Korea",mobile,,,
8145979,V0AIKK4KTWV0,f7098838800d8,1541411458,2,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
8145980,V0AIKK4KTWV0,f7098838800d8,1541411463,3,change of sort order,distance only,KR,"Seoul, South Korea",mobile,,,
8145981,V0AIKK4KTWV0,f7098838800d8,1541411463,4,filter selection,Sort By Distance,KR,"Seoul, South Korea",mobile,Sort By Distance,,
8145983,V0AIKK4KTWV0,f7098838800d8,1541411720,6,filter selection,Hotel,KR,"Seoul, South Korea",mobile,Focus on Distance|Hotel,,
8175908,1Y11F3S8K132,f6a4e398f243f,1541124697,1,search for destination,"Seoul, South Korea",MY,"Seoul, South Korea",desktop,,,
8183148,MAJBI1IKG4UT,bf6050ec7f27d,1541172085,1,search for poi,Myeongdong,HK,"Seoul, South Korea",desktop,,,
8210081,NEKI5C5WTIXA,675d519733020,1541360639,1,change of sort order,interaction sort button,FI,"Seoul, South Korea",desktop,,,
8210082,NEKI5C5WTIXA,675d519733020,1541360649,2,change of sort order,price and recommended,FI,"Seoul, South Korea",desktop,,,
8210083,NEKI5C5WTIXA,675d519733020,1541360649,3,filter selection,Best Value,FI,"Seoul, South Korea",desktop,Best Value,,
8215468,1LF6DSFT8AWH,e44c1f8dca446,1541388918,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
8232384,8GPDAPJ3QWEG,aa7e175ba1a97,1541493700,8,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
8232385,8GPDAPJ3QWEG,aa7e175ba1a97,1541493725,9,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
8255996,YCC9RKSHMJ13,a8035f7626008,1541066178,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8280988,UCZS8ZML64FS,867e448991c06,1541218244,1,search for poi,Hongdae,TW,"Seoul, South Korea",mobile,,,
8280989,UCZS8ZML64FS,867e448991c06,1541218259,2,change of sort order,interaction sort button,TW,"Seoul, South Korea",mobile,,,
8280990,UCZS8ZML64FS,867e448991c06,1541218260,3,change of sort order,rating only,TW,"Seoul, South Korea",mobile,,,
8280991,UCZS8ZML64FS,867e448991c06,1541218260,4,filter selection,Sort By Rating,TW,"Seoul, South Korea",mobile,Sort By Rating,,
8280992,UCZS8ZML64FS,867e448991c06,1541218262,5,change of sort order,interaction sort button,TW,"Seoul, South Korea",mobile,,,
8280993,UCZS8ZML64FS,867e448991c06,1541218262,6,change of sort order,price and recommended,TW,"Seoul, South Korea",mobile,,,
8280994,UCZS8ZML64FS,867e448991c06,1541218262,7,filter selection,Best Value,TW,"Seoul, South Korea",mobile,Best Value,,
8280997,UCZS8ZML64FS,867e448991c06,1541218336,10,search for poi,Hongdae,TW,"Seoul, South Korea",mobile,,,
8280998,UCZS8ZML64FS,867e448991c06,1541218341,11,change of sort order,rating only,TW,"Seoul, South Korea",mobile,,,
8280999,UCZS8ZML64FS,867e448991c06,1541218341,12,change of sort order,interaction sort button,TW,"Seoul, South Korea",mobile,,,
8281000,UCZS8ZML64FS,867e448991c06,1541218341,13,filter selection,Sort By Rating,TW,"Seoul, South Korea",mobile,Sort By Rating,,
8281001,UCZS8ZML64FS,867e448991c06,1541218349,14,filter selection,Excellent Rating,TW,"Seoul, South Korea",mobile,Sort By Rating|Excellent Rating,,
8281023,UCZS8ZML64FS,867e448991c06,1541218601,36,filter selection,Hotel,TW,"Seoul, South Korea",mobile,Excellent Rating|Focus on Distance|Hotel,,
8281080,UCZS8ZML64FS,867e448991c06,1541218722,93,change of sort order,interaction sort button,TW,"Seoul, South Korea",mobile,,,
8281082,UCZS8ZML64FS,867e448991c06,1541218722,95,filter selection,Hotel,TW,"Seoul, South Korea",mobile,Excellent Rating|Focus on Distance,,
8281083,UCZS8ZML64FS,867e448991c06,1541218724,96,change of sort order,price only,TW,"Seoul, South Korea",mobile,,,
8281086,UCZS8ZML64FS,867e448991c06,1541218724,99,filter selection,Sort by Price,TW,"Seoul, South Korea",mobile,Excellent Rating|Sort by Price,,
8285876,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330512,1,search for poi,Seoul Station,JP,"Seoul, South Korea",tablet,,,
8285877,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330675,2,filter selection,Good Rating,JP,"Seoul, South Korea",tablet,Good Rating,,
8285878,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330676,3,filter selection,Very Good Rating,JP,"Seoul, South Korea",tablet,Very Good Rating,,
8285879,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330688,4,filter selection,3 Star,JP,"Seoul, South Korea",tablet,Very Good Rating|3 Star,,
8285880,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330689,5,filter selection,4 Star,JP,"Seoul, South Korea",tablet,Very Good Rating|3 Star|4 Star,,
8285881,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330693,6,filter selection,5 Star,JP,"Seoul, South Korea",tablet,Very Good Rating|3 Star|4 Star|5 Star,,
8285882,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330699,7,filter selection,Hotel,JP,"Seoul, South Korea",tablet,Very Good Rating|3 Star|4 Star|5 Star|Hotel,,
8285883,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330709,8,change of sort order,interaction sort button,JP,"Seoul, South Korea",tablet,,,
8285884,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330722,9,change of sort order,interaction sort button,JP,"Seoul, South Korea",tablet,,,
8285885,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330732,10,change of sort order,price only,JP,"Seoul, South Korea",tablet,,,
8285886,6N4H5JFUJLH0,2e4d2fbc99d1c,1541330732,11,filter selection,Sort by Price,JP,"Seoul, South Korea",tablet,Very Good Rating|3 Star|4 Star|5 Star|Hotel|Sort by Price,,
8288040,ACH7WU02RPFU,54dff73ef0cf1,1541291290,1,search for poi,Hongdae,TW,"Seoul, South Korea",mobile,,,
8288042,ACH7WU02RPFU,54dff73ef0cf1,1541291434,3,filter selection,Hotel,TW,"Seoul, South Korea",mobile,Focus on Distance|Hotel,,
8348310,93R3XYZRH2NK,669b6759c9e48,1541248862,1,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
8348311,93R3XYZRH2NK,669b6759c9e48,1541248866,2,change of sort order,distance and recommended,KR,"Seoul, South Korea",mobile,,,
8348312,93R3XYZRH2NK,669b6759c9e48,1541248866,3,filter selection,Focus on Distance,KR,"Seoul, South Korea",mobile,Focus on Distance,,
8348323,93R3XYZRH2NK,669b6759c9e48,1541249250,14,search for poi,Gangnam-gu,KR,"Seoul, South Korea",mobile,,,
8348326,93R3XYZRH2NK,669b6759c9e48,1541249372,17,search for poi,Konkuk University,KR,"Seoul, South Korea",mobile,,,
8348327,93R3XYZRH2NK,669b6759c9e48,1541249408,18,search for poi,Jamsil Sports Complex,KR,"Seoul, South Korea",mobile,,,
8348328,93R3XYZRH2NK,669b6759c9e48,1541249412,19,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
8348329,93R3XYZRH2NK,669b6759c9e48,1541249413,20,change of sort order,price and recommended,KR,"Seoul, South Korea",mobile,,,
8348330,93R3XYZRH2NK,669b6759c9e48,1541249413,21,filter selection,Best Value,KR,"Seoul, South Korea",mobile,Best Value,,
8348337,93R3XYZRH2NK,669b6759c9e48,1541249495,28,search for poi,Konkuk University,KR,"Seoul, South Korea",mobile,Best Value,,
8348338,93R3XYZRH2NK,669b6759c9e48,1541249506,29,search for poi,Gangnam-gu,KR,"Seoul, South Korea",mobile,Best Value,,
8348350,93R3XYZRH2NK,669b6759c9e48,1541249625,41,change of sort order,interaction sort button,KR,"Seoul, South Korea",mobile,,,
8348351,93R3XYZRH2NK,669b6759c9e48,1541249625,42,change of sort order,distance and recommended,KR,"Seoul, South Korea",mobile,,,
8348352,93R3XYZRH2NK,669b6759c9e48,1541249625,43,filter selection,Focus on Distance,KR,"Seoul, South Korea",mobile,Focus on Distance,,
8348353,93R3XYZRH2NK,669b6759c9e48,1541249633,44,search for poi,Jamsil Sports Complex,KR,"Seoul, South Korea",mobile,Focus on Distance,,
8413099,4O5HEXT1H6GA,6be17c2e86661,1541169768,1,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,,,
8413102,4O5HEXT1H6GA,6be17c2e86661,1541169955,4,search for poi,Hongdae,JP,"Seoul, South Korea",mobile,,,
8413103,4O5HEXT1H6GA,6be17c2e86661,1541169960,5,search for poi,Hongdae,JP,"Seoul, South Korea",mobile,,,
8433638,RDE90WSX9EDJ,5c97d29233023,1541245306,1,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8433639,RDE90WSX9EDJ,5c97d29233023,1541245306,2,change of sort order,distance and recommended,JP,"Seoul, South Korea",mobile,,,
8433640,RDE90WSX9EDJ,5c97d29233023,1541245306,3,filter selection,Focus on Distance,JP,"Seoul, South Korea",mobile,Focus on Distance,,
8433642,RDE90WSX9EDJ,5c97d29233023,1541245858,5,search for poi,Myeong-dong,JP,"Seoul, South Korea",mobile,Focus on Distance,,
8477743,XI6T3Q6K0U3F,8de4cbd0c4830,1541481120,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8477744,XI6T3Q6K0U3F,8de4cbd0c4830,1541481154,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8477745,XI6T3Q6K0U3F,8de4cbd0c4830,1541481158,3,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
8477746,XI6T3Q6K0U3F,8de4cbd0c4830,1541481158,4,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
8506613,XN1LH9B9AKV6,ae33f559b2bdb,1541131443,1,search for poi,Myeong-dong,JP,"Seoul, South Korea",desktop,,,
8522369,8IVB66OJJWAB,2461a8ac60d9f,1541334711,6,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",mobile,,,
8522374,8IVB66OJJWAB,2461a8ac60d9f,1541334762,11,filter selection,3 Star,JP,"Seoul, South Korea",mobile,3 Star,,
8542309,GQASGRFJ1QPJ,dc7594d182445,1541420678,1,search for poi,Hongdae,JP,"Seoul, South Korea",mobile,,,
8542310,GQASGRFJ1QPJ,dc7594d182445,1541420682,2,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8542311,GQASGRFJ1QPJ,dc7594d182445,1541420688,3,change of sort order,price and recommended,JP,"Seoul, South Korea",mobile,,,
8542312,GQASGRFJ1QPJ,dc7594d182445,1541420688,4,filter selection,Best Value,JP,"Seoul, South Korea",mobile,Best Value,,
8542313,GQASGRFJ1QPJ,dc7594d182445,1541420723,5,filter selection,Hostel,JP,"Seoul, South Korea",mobile,Best Value|Hostel,,
8542314,GQASGRFJ1QPJ,dc7594d182445,1541420787,6,change of sort order,interaction sort button,JP,"Seoul, South Korea",mobile,,,
8542315,GQASGRFJ1QPJ,dc7594d182445,1541420796,7,change of sort order,price only,JP,"Seoul, South Korea",mobile,,,
8542316,GQASGRFJ1QPJ,dc7594d182445,1541420796,8,filter selection,Sort by Price,JP,"Seoul, South Korea",mobile,Sort by Price,,
8548044,YP71UW08V1YC,f886a17180cc4,1541427806,1,search for poi,Hongdae,HK,"Seoul, South Korea",desktop,,,
8559843,R04JM3UC8139,09d2930d965f4,1541510826,1,search for poi,Seoul Station,SG,"Seoul, South Korea",desktop,,,
8559844,R04JM3UC8139,09d2930d965f4,1541510927,2,filter selection,Excellent Rating,SG,"Seoul, South Korea",desktop,Excellent Rating,,
8559845,R04JM3UC8139,09d2930d965f4,1541510937,3,filter selection,Hostal (ES),SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES),,
8559846,R04JM3UC8139,09d2930d965f4,1541510937,4,filter selection,Hotel,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES),,
8559847,R04JM3UC8139,09d2930d965f4,1541510937,5,filter selection,Motel,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES),,
8559848,R04JM3UC8139,09d2930d965f4,1541510937,6,filter selection,Resort,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES),,
8559849,R04JM3UC8139,09d2930d965f4,1541510937,7,filter selection,5 Star,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES),,
8559850,R04JM3UC8139,09d2930d965f4,1541510947,8,filter selection,Hostal (ES),SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8559851,R04JM3UC8139,09d2930d965f4,1541510947,9,filter selection,Hotel,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8559852,R04JM3UC8139,09d2930d965f4,1541510947,10,filter selection,Motel,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8559853,R04JM3UC8139,09d2930d965f4,1541510947,11,filter selection,Resort,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8559854,R04JM3UC8139,09d2930d965f4,1541510947,12,filter selection,4 Star,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8559855,R04JM3UC8139,09d2930d965f4,1541510947,13,filter selection,5 Star,SG,"Seoul, South Korea",desktop,Excellent Rating|5 Star|Hotel|Motel|Resort|Hostal (ES)|4 Star,,
8570717,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,3,filter selection,Hostal (ES),JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570718,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,4,filter selection,Hotel,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570719,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,5,filter selection,Motel,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570720,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,6,filter selection,Resort,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570721,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,7,filter selection,4 Star,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570722,FVBLIX0CK15Z,c21e8cef66d0c,1541086669,8,filter selection,5 Star,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES),,
8570723,FVBLIX0CK15Z,c21e8cef66d0c,1541086681,9,filter selection,Excellent Rating,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Excellent Rating,,
8570724,FVBLIX0CK15Z,c21e8cef66d0c,1541086691,10,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
8570725,FVBLIX0CK15Z,c21e8cef66d0c,1541086692,11,change of sort order,price and recommended,JP,"Seoul, South Korea",desktop,,,
8570726,FVBLIX0CK15Z,c21e8cef66d0c,1541086692,12,filter selection,Best Value,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Excellent Rating|Best Value,,
8570728,FVBLIX0CK15Z,c21e8cef66d0c,1541086712,14,filter selection,Motel,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Resort|Hostal (ES)|Excellent Rating|Best Value,,
8570729,FVBLIX0CK15Z,c21e8cef66d0c,1541086714,15,filter selection,Hostal (ES),JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Resort|Excellent Rating|Best Value,,
8570730,FVBLIX0CK15Z,c21e8cef66d0c,1541086717,16,filter selection,Resort,JP,"Seoul, South Korea",desktop,5 Star|4 Star|Hotel|Excellent Rating|Best Value,,
8587216,TIAAI769UTU3,db5a4d2c92561,1541132252,1,search for destination,"Seoul, South Korea",PH,"Seoul, South Korea",mobile,,,
8587217,TIAAI769UTU3,db5a4d2c92561,1541132289,2,change of sort order,interaction sort button,PH,"Seoul, South Korea",mobile,,,
8587218,TIAAI769UTU3,db5a4d2c92561,1541132299,3,change of sort order,price only,PH,"Seoul, South Korea",mobile,,,
8587219,TIAAI769UTU3,db5a4d2c92561,1541132299,4,filter selection,Sort by Price,PH,"Seoul, South Korea",mobile,Sort by Price,,
8587714,UOVAKETMNST0,de356146eb0ef,1541122807,1,search for poi,Itaewon,US,"Seoul, South Korea",desktop,,,
8601840,ZJPPH5Z85CL3,e92dab0cabe11,1541259324,1,search for poi,Myeong-dong,MY,"Seoul, South Korea",mobile,,,
8601841,ZJPPH5Z85CL3,e92dab0cabe11,1541259356,2,change of sort order,interaction sort button,MY,"Seoul, South Korea",mobile,,,
8601842,ZJPPH5Z85CL3,e92dab0cabe11,1541259360,3,change of sort order,price and recommended,MY,"Seoul, South Korea",mobile,,,
8601843,ZJPPH5Z85CL3,e92dab0cabe11,1541259360,4,filter selection,Best Value,MY,"Seoul, South Korea",mobile,Best Value,,
8601857,ZJPPH5Z85CL3,e92dab0cabe11,1541259801,18,search for poi,Myeong-dong,MY,"Seoul, South Korea",mobile,,,
8601858,ZJPPH5Z85CL3,e92dab0cabe11,1541259806,19,change of sort order,interaction sort button,MY,"Seoul, South Korea",mobile,,,
8601859,ZJPPH5Z85CL3,e92dab0cabe11,1541259806,20,change of sort order,price and recommended,MY,"Seoul, South Korea",mobile,,,
8601860,ZJPPH5Z85CL3,e92dab0cabe11,1541259806,21,filter selection,Best Value,MY,"Seoul, South Korea",mobile,Best Value,,
8621921,EWNW7377JM7L,ce1f5c79a3ba6,1541406109,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
8621922,EWNW7377JM7L,ce1f5c79a3ba6,1541406122,2,filter selection,Hotel,JP,"Seoul, South Korea",desktop,Hotel|Motel,,
8621923,EWNW7377JM7L,ce1f5c79a3ba6,1541406122,3,filter selection,Motel,JP,"Seoul, South Korea",desktop,Hotel|Motel,,
8621924,EWNW7377JM7L,ce1f5c79a3ba6,1541406125,4,filter selection,4 Star,JP,"Seoul, South Korea",desktop,Hotel|Motel|4 Star,,
8621925,EWNW7377JM7L,ce1f5c79a3ba6,1541406150,5,filter selection,Motel,JP,"Seoul, South Korea",desktop,Hotel|4 Star|Focus on Distance,,
8621928,EWNW7377JM7L,ce1f5c79a3ba6,1541406279,8,filter selection,5 Star,JP,"Seoul, South Korea",desktop,Hotel|4 Star|Focus on Distance|5 Star,,
8621929,EWNW7377JM7L,ce1f5c79a3ba6,1541406289,9,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
8621930,EWNW7377JM7L,ce1f5c79a3ba6,1541406289,10,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
8621931,EWNW7377JM7L,ce1f5c79a3ba6,1541406299,11,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
8621932,EWNW7377JM7L,ce1f5c79a3ba6,1541406299,12,change of sort order,interaction sort button,JP,"Seoul, South Korea",desktop,,,
8637205,GWJJ77GVJX5H,8a9cdd813976d,1541518006,1,search for poi,Myeongdong,HK,"Seoul, South Korea",mobile,,,
8654519,OVIA84SGPS9R,77dd75591cddb,1541076209,1,search for destination,"Seoul, South Korea",JP,"Seoul, South Korea",desktop,,,
8654520,OVIA84SGPS9R,77dd75591cddb,1541076269,2,filter selection,Gay-friendly,JP,"Seoul, South Korea",desktop,Gay Friendly,,
